agraz,,,,,,
,,,,,,
arandanos,,,,,,
badea,,,,,,
banano criollo ,,,,,,
breva ,,,,,,
ciruela ,,,,,,
coco,,,,,,
curuba,,,,,,
durazno nacional ,,,,,,Fr*?SCh&tpVZ22p
freijoa,,,,,,
fresa grande ,,,,,,
fresa jumbo ,,,,,,
fresa pequeña,,,,,,
granadilla ,,,,,,
guanabana,,,,,,
guayaba,,,,,,
gengibre,,,,,,
kiwi,,,,,,
limon criollo,,,,,,
limon taiti ,,,,,,
limon mandarina,,,,,,
mango tommy,,,,,,
manzana roja ,,,,,,
manzana verde ,,,,,,
manzana rosada,,,,,,
manzana de agua,,,,,,
mandariana ,,,,,,
,,,,,,
maracuya ,,,,,,
melon ,,,,,,
mora ,,,,,,
naranja comun ,,,,,,
naranja valenciana ,,,,,,
naranja tangelo ,,,,,,
papaya ,,,,,,
patilla baby ,,,,,,
patilla comun ,,,,,,
pera importada ,,,,,,
pera criolla ,,,,,,
piña perolera,,,,,,
piña oro miel ,,,,,,
tamarindo en pasta ,,,,,,
pitahaya ,,,,,,
tamarindo en pulpa,,,,,,
toronja ,,,,,,
uchua en tarro ,,,,,,
uchua en cascara ,,,,,,
uchua ,,,,,,
uva importada ,,,,,,
una isabella ,,,,,,
aguacate crioola ,,,,,,
aguacate choque ,,,,,,
aguacate hazz,,,,,,
aguacate papelillo ,,,,,,
acelga ,,,,,,
ahuyama,,,,,,
ahuyamin ,,,,,,
ajo blanco ,,,,,,
ajo criollo,,,,,,
apio rama x3,,,,,,
apio rama mata,,,,,,
apio arracacha ,,,,,,
arveja desgranada,,,,,,
arveja en concha,,,,,,
berengena blanca,,,,,,
berenjena morada,,,,,,
brocoli ,,,,,,
calabazin verde ,,,,,,
zikinni amarillo ,,,,,,
camote ,,,,,,
batata ,,,,,,
cebolla blanca ,,,,,,
cebolla roja ,,,,,,
cebolla larga ,,,,,,
cebolla puerro ,,,,,,
colifor ,,,,,,
cilantro x 500,,,,,,
cilantro atado x2000,,,,,,
cilantro mata ,,,,,,
champiñon badeja ,,,,,,
champiñon entero ,,,,,,
espinaca,,,,,,
frijol desgranado ,,,,,,
frijol en concha ,,,,,,
guacas*,,,,,,
guascas*,,,,,,
guineo,,,,,,
habichuela ,,,,,,
lechuga batabia ,,,,,,
mazorca desgranada ,,,,,,
lechuga romana ,,,,,,
lechuga crespa ,,,,,,
mazorca criolla ,,,,,,
mazorca bogotana ,,,,,,
papa criolla o amarrila ,,,,,,
papa pastusa ,,,,,,
papa unica o de fritar ,,,,,,
papa pareja ,,,,,,
pepino cohombro,,,,,,
pepino de rellenar ,,,,,,
perejil mata ,,,,,,
perejil x 1000,,,,,,
picado de seco pequeño ,q1,,,,,
picado se seco grande ,,,,,,
picado de sopa pequeñp ,,,,,,
picado de sopa grande ,,,,,,
shosue bandeja ,,,,,,
